postJob,company,city_state,date,descrip,dateColect,urlDF.country.i.,url
Data Engineer I, Amazon, – Vancouver, 9 days ago," Job DescriptionJob location: 510 West Georgia Street, Vancouver, BC, V6B 0M3As a data engineer, you should be skilled in the architecture of enterprise data warehouse solutions using multiple platforms. You should have extensive experience in the design, creation, management and business use of extremely large datasets. You will be building new data engineering solutions that leverage the AWS cloud architecture and will extend or migrate our existing data pipelines to this architecture as needed. You will also be leveraging our Big Data platform to create the curated data model for the teams to leverage. You should have excellent business and communication skills to be able to work with business owners to develop and define key business questions, and to build data sets that answer those questions. Above all you should be passionate about working with huge data sets and someone who loves to bring datasets together to answer business questions and drive change.Responsibilities · Interfacing with business customers, gathering requirements and developing new datasets in data warehouse. · Building and migrating the complex ETL pipelines from Oracle system to Redshift and Elastic Map Reduce to make the system grow elastically. · Optimizing the performance of business-critical queries and dealing with ETL job related issues. · Identifying the data quality issues across Oracle and Redshift to address them immediately to provide great user experience. · Extracting and combining data from various heterogeneous data sources. · Designing, implementing and supporting a platform that can provide ad-hoc access to large datasets.Salary Range: $81,994 to $102,400/yr, commensurate with experienceBenefits: Amazon provides a full range of benefits for our global employees and their eligible family members. Eligible employees may also receive signing bonuses and Amazon Restricted Stock Units. While they might vary from location to location, Amazon benefits for Canada may include: Health CareSavings PlansIncome ProtectionPaid Time OffSigning BonusesEmployee Stock Basic Qualifications· Degree in Computer Science, Engineering, Mathematics, Physics, or a related field · At least 2 years of industry work experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets. · Demonstrated ability in data modeling, ETL development, and data warehousing.· Experience with Big Data Technologies (Hadoop, Hive, Spark, etc.). · Coding proficiency in at least one modern programming language (Python, Ruby, Java, etc.)  Preferred QualificationsAll applicants must meet the above requirements.",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=299661&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a066c103&cb=1516298960960&jobListingId=2492654834
Data Scientist/ Scientifique de données, Acquisio, – Brossard, 6 days ago," Acquisio is seeking a Data Scientist, to play an influential role in our growing research team to continue improving our real time bidding algorithms as well as lead research projects to identify new algorithms and revolutionary features. KEY RESPONSIBILITIES Engaging in team collaborations working towards long-term ambitious research goals, while identifying intermediate milestones Develop cutting edge research in Machine intelligence and Algorithm development Exploring the wide variety of contexts and situations in which ML or OR can be applied; Working with huge datasets and finding unexpected signal in them; Using and discovering the best tools to conduct efficient research; Creating high-quality production code to turn research into delightful products; Review algorithm performance to identify opportunities to improve existing solutionsKEY SKILLS TO BE SUCCESSFULIf you: Are self-reliant and self-motivated Are able to see initiatives through to completion Are a team player who thrives in a highly charged, entrepreneurial environment with - superior organization and time management skills. Are comfortable with process definition and document Can think creatively and analytically and like to identify and drive high visibility projects Are comfortable with complex technical detail Are eagerly looking for a role which will expand hands-on knowledge of the digital advertising ecosystem Then we have something you want. A role designed to channel those strengths within a growing, profitable company, with a strong, collaborative team.  Qualifications  Ability to work autonomously and within a team setting; Experience working in a diversified team; A history of shipping high quality code using cutting-edge techniques; At least 3 years of experience developing AI and/or ML real life algorithms; Experience and mastery of scientific programming languages and libraries relevant to your field (ML or OR) for example: scikit-learn, Theano, TensorFlow, NumPy, R, etc. Experience with at least one of the following programming languages, preferably for the development of production code: Java, Python, JavaScript, C#, R, etc. Strong multi-tasking skills and effective interpersonal and communication skills. Degree in Computer Science, Machine Learning, Statistics or a related field Search and Social Media Experience is a plus. Interested? please send a copy of your resume to hr@acquisio.com",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=302&ao=66506&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_649e2a69&cb=1516298960962&jobListingId=2341462676
"Data Scientist, Data & Analytics", KPMG Canada, – Toronto, 22 days ago,"Working at KPMG allows you to gain valuable on-the-job experience while building your professional network and business acumen. Being part of the KPMG Global member firm of 155 countries and 174,000 professionals, you’ll be part of a high performing team and have access to ongoing professional development and mentorship at every level. You will work with national and global organizations, adding value and gaining valuable on-the-job experience. At KPMG, we’ll provide you with the support to drive your own career and discover the countless opportunities available.Position SummaryOur Data and Analytics practice is a strategic growth initiative for KPMG and it is growing rapidly. We provide clients with D&A solutions which range from the foundational to very advanced. We often help clients with First-of-a-Kind capabilities which helps them transform and become leaders in their space. Our innovation driven growth provides practitioners lots of opportunity to learn and develop. D&A practitioners are expected to be proficient on several of the following capabilities and are expected to work on engagements, which will include one or more of the following:Help our clients transform in a digital world: Business and analytics strategy to adapt to changes resulting from technological advances, disruption of business models and data monetizationArtificial Intelligence and Automation: Develop intelligent bots to help eliminate bias, human error, and inefficiency in decision making.Virtual and Augmented Reality and the Internet of Things: Understand and articulate how technologies such as these are changing the world. Prototype and develop solutions which include VR/AR and IoT which change user experience, business models and much moreAnalytical Enterprise: Enabling people with tools, process and governanceInformation Management: Building trust in the data they use and report, as well as how it is managed and storedData engineering and Big Data: Ensuring architecture is scalable and flexible to business changeReporting & Visualization: Identifying the right KPIs, dashboard to help effectively monitor performance and enable insight discoveryAdvanced Analytics: Enabling greater insight into business drivers and future outlook to proactively inform business decisions using supervised and unsupervised techniquesRead here to know more about: KPMG Data & AnalyticsRole & ResponsibilitiesWork closely with clients in understanding key business issues. Gather and analyze requirements to develop impactful recommendations and solutionsUtilize advanced analytical techniques to solve challenging business problems. Propose and develop results, models and rules engines using statistical, machine learning, Natural Language Processing, Linear Programming, etc.Work with large volumes of data (structured and unstructured). Investigate and perform deeper analysis to produce impactful algorithms to achieve targeted outcomesPerform quantitative analysis of data issuesCome to work with an intrinsic desire to change your worldInspire a very smart and talented team to be better at what they already do and innovate in new areasLead engagements and teams to successful outcomes with a focus on problem solving and executionUnderstand the business challenge, the data points associated with that scenario and be able to formulate solutions through the application of people, process, technology and dataBe a thought leader in your area of expertiseSkills & Qualifications:An insatiable curiosity to learn, an aptitude to figure it out and a hunger to make a differenceStrong communication and interpersonal skillsAbility to think critically and laterally – problem solve and innovate within a team environment High level of attention to detail, excellent time management skills, ability to perform under pressurePost-Secondary education equivalent to a university degree in numerate or analytical disciplines such as Mathematics, Computer Science, or Engineering. (Candidates with the equivalent of a Master’s degree in a relevant subject including, but not limited to Mathematics, Science, Engineering, Business Administration, Marketing, Operational Research, Economics, Statistics , AI, Computer Science or a related field etc. will be preferred.)Technical skills:A successful track record of leading large scale Data Driven engagements within integrated, multi-disciplinary project teamsProven data extraction, analysis, cleansing, quality and manipulation skills, as well as experience handling very large volumes of dataWell versed with the Software Development Lifecycle, Product Management, Principles of Software Engineering or Data Mining MethodologiesExtensive experience with standard statistical packages or Languages (R, Python, MATLAB, SAS, SPSS, etc.)Proficiency in scripting (Perl, PowerShell, etc.) Experience with programming languages such as (Python, Java, C, C++, etc.)Prior exposure to tools like Alteryx, Tableau, Spotfire, PowerBI, etc.Experience with Hadoop (HDFS, Hive, Pig, Informatica, ErWin, etc.), databases (SQL Server, Oracle, etc.), solution Definition and Application, and methods (SDLC, PMLC)Experience with embedded OS for IoT is a plusExperience with Microsoft Hololens is a plusProficient in Microsoft PowerPoint, Excel, Access and WordHaving fun is key to our productivity and creativity and we provide access to cool relaxation gadgets. We enjoy our work and work hard with a relentless focus on quality and success. At times, business needs arise and employees are required and agree to work beyond their normal work day or work week to fulfill the accountabilities required for their job. Likewise, people need extra time to devote to personal matters, and our approach to flexibility provides for this.#LI-ML2Location Toronto, ON Job Title Data Scientist, Data & AnalyticsOur Values, The KPMG Way We lead by example | We work together | We respect the individual  We seek the facts and provide insight | We are open and honest in our communication  We are committed to our communities | Above all, we act with integrityKPMG is an equal opportunity employer and values diversity in its workforce. KPMG encourages applications from all qualified individuals and will accommodate applicants’ disability-related needs, up to the point of undue hardship, throughout all stages of the recruitment and selection process. Any assessment and selection materials or processes used during the recruitment process will be available in an accessible format to applicants with disabilities, upon request. If you require a disability-related accommodation in order to participate in the recruitment process, please contact the HR Shared Service Centre by email at cafmcdnhrsthotline@kpmg.ca or by phone at 416-777-8002 or toll free 1-888-466-4778 (Option 1). KPMG will consult with all applicants with disabilities who request accommodation during the recruitment process to ensure that the accommodation provided takes into account the applicant’s individual accessibility needs.Category ConsultingJob Function Data & Analytics Service Line Data & Analytics Industry Not Applicable",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=102921&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7fccfd2e&cb=1516298960963&jobListingId=2455217787
Data Scientist - Machine Learning Specialist, Granify, – Edmonton, 1 days ago," Granify is high-tech, high-energy e-commerce startup, backed by strong investors. We are building an industry-leading AI-based personalization platform for online retailers wanting to create a better online shopping experience for their customers. Do you know why some shoppers don’t buy? We do, and we can change their minds.  Do you want your work to have tremendous impact? Do you thrive in exploring vast amounts of data and extracting actionable knowledge out of it? Join us and you will enjoy a bustling startup vibe where everyone has fun, cooperates and sees the impact of their work. We will support you in your growth and provide learning opportunities and mentorship. You will work with an experienced, intelligent, and driven team that is highly cooperative  This position is full-time in Edmonton, AB, Canada. We welcome local applicants, as well as any Canadian citizens, permanent residents, or eligible international applicants willing to relocate.  What You'll Work On  As a key member of our Data Science team, you will work with vast amounts of behavior and transaction data, and design and implement algorithms which predict e-commerce shopper actions and needs. We have access to and act on millions of shopper sessions per day. This is an amazing opportunity to design algorithms which will be responsible for helping and influencing real shoppers across the world in real-time! Tech Stack: We are using AWS cloud and the ML stack includes TensorFlow, Python, Spark, Tableau, and Hadoop. We have dedicated Data Engineers and Software Developers who provide support and tools needed for research and help with implementation of research outcomes.  As a Machine Learning Specialist with Granify you’ll: Develop new and improve existing ML models that guide our interactions with shoppersDesign and create AI based tools to interact with shoppersAnalyze, interpret and use machine learning and data mining algorithms on the enormous amount of behavioral and transactional dataRecommend new experiments supported by your findings and researchDissect online stores’ shoppers data to identify opportunities to increase conversion, order value, lifetime value, and customer delightWrite code to implement your experimentsWork closely with our designers, developers, creative prototypers and account managers to bring your new experiments to lifeSolve a wide variety of complex problems as they arise that will often require significant analysis of our data, research and deep thinkingLead brainstorming sessions with your teammates to determine opportunities for improvement and experiments You Are... Thriving to learn new things and researches and apply them to real life problemsSelf-motivated, hard-working and passionate about building thingsExcited by finding elegant solutions to complex problemsAdept at brainstorming and creative thinkingEager to ship often & iterate quicklyComfortable jumping into an existing code baseEnergetic, personable, with strong communication skills Fundamentals: MSc or PhD in Computer Science, Statistics, Math, or relatedProficient in at least one programming languageDemonstrated ability to apply statistical or data mining techniques to solve real problemsAbility to organize, interpret, and analyze large amounts of dataAdvanced skills and experience in machine learning and data miningKnowledge of various ML and statistical tools and libraries (e.g. TensorFlow, sciPy, R, and similar) Bonus Points: Experienced with Deep LearningKnowledge of distributed computing frameworks such as SparkExperience in online advertising/marketing analytics, behavioral targeting or web analyticsHands-on experience with Tableau Working at Granify  With offices in downtown Austin and downtown Edmonton, we’re working to create a collaborative environment where you can do and be your best. Together we’ll be tackling incredible challenges, driving customer value and innovating online retail solutions in 2018 and beyond.  Granify is an equal opportunity employer and values diversity. You’ll find limitless opportunities for growth, development, and career progression - the only thing holding you back is you.",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=66506&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_58a45eed&cb=1516298960964&jobListingId=2617386676
Senior Data Scientist, Fortinet, – Burnaby, 13 days ago," BurnabyBurnabyBritish Columbia [BC]Canada [CA]  Fortinet is searching for a Senior Data Scientist to work in a dynamic and exciting new position within the FortiGuard Security Strategy Group (FSSG), office of the CISO. The Data Scientist's main responsibilities will be data mining a plethora of information from FortiGuard Labs. This includes bid data - global and regional trends based on unique intelligence served up from Fortinet's global intelligence network, as well as specific data on regional and low volume levels. Other analysis projects include support for industry relationships like the Cyber Threat Intelligence Alliance. They will work directly with backend FortiGuard and FFortiGuard SE teams to track and promote new discoveries based off the Data Scientist's analysis and threat illumination. The scientist will use multiple systems to correlate data while threat hunting. This includes FortiSandbox data and other backend research systems.  The role reports into the Security Strategy organization, office of the CISO. The Data Scientist will also work with our FortiGuard tools team and Security Orchestrator in order to ingest new threat intelligence feeds for our scientific analysis and evaluation, as well as export specific data sets based off filtered queries of interesting data including vertical specific information.  FortiGuard Services offer broad security solutions including antivirus, intrusion prevention, web content filtering and anti spam capabilities. These services help protect against threats on both application and network layers. FortiGuard Services are updated by FortiGuard Labs, which enables Fortinet to deliver a combination of multi-layered security intelligence and zero-day protection from new and emerging threats. FortiGuard Labs has experts in cyber threat response and analysis worldwide. Responsibilities: query and analyze threat trend analysis data, IOC (indicators of compromise) from multiple sources: global threat sensor data and internal research environments, FortiGuard TIS services and Cyber Threat Alliance, FortiSandboxContextualize data based off threat discoveries (STIX profiles, correlation, mapping threat actor groups)create new views and queries that can be used for automation of intelligence reportspublish trend and statistical views based off analysis and discoveries (threat illumination)participate in industry forumscollaborate closely with Security Strategy & FortiGuard Labs analysis team (AV/IPS/WF) to correlate additional research into threat intelligence data that can be used for threat reporting and other research channelsperform evaluation of 3rd party threat intelligence feeds and how they would complement FortiGuardsupport existing and new threat intelligence collaborations and relationships (including global CERT) from a technical standpoint - ensure data flow and structure is functioning as neededcarry quarterly and annual revenue targets linked to commission structure that support FortiGuard SE teamRequired Skills:hands on experience in database design/operation/maintenance, MySQL, PostgreSQLbig data hands on experience required (Apache Hadoop, Spark, NoSQL, etc) along with data miningDeep appreciation and understanding of how web service work together (includes HTTP, REST, XMLRPC, JSON and preferably STIX/TAXII)data visualization experience (Tableau, Qlikview, etc)experience in at least one of: shell, ruby, python, perl, etc. (C, C++ an asset)familiar understanding of malware and sandbox conceptsfamiliar understanding of security vulnerability and exploit lifecyclenetworking concepts and Linux system administration skillsclear understanding of competitive landscape and differentiators in regard to APT defensestatistical and quantitative analysis (R, Matlab, SAS, Stata, etc) is a very strong assetcomprehensive understanding of machine learning concepts is a strong assethighly motivated and responsible quick learnerEducation required:bachelors degree in computer engineering, computer science, engineering or related experience and education#LI-MFFTNT*MSJA*#GD",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=197149&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9a488388&cb=1516298960965&jobListingId=2560527653
Junior Data Scientist: Advanced Analytics, IBM, – Calgary, 7 days ago,"Job Description IBM Global Business Services helps top-tier clients solve their most complex business and technical issues. As a Data Scientist, you will deliver innovative business consulting, business process design, and application design and management to leading sector organizations in 17 industries worldwide. With access to resources that only a global leader can provide, you will learn valuable skills, gain access to a vast and diverse network of talented professionals, and enjoy unparalleled career, training, and educational opportunities.  Visit http://www.ibm.com/ca/ for more information  The Junior Data Scientist will be familiar with key internal and external data sources and how they are gathered and retrieved; experience with manipulation large volumes of data and open source technologies is essential. The incumbent will be experienced with various languages and tools and able to select a suitable tool for the analytics solution or working with data.  In addition to broad and deep data and analytics skills, the data scientist has strong business acumen, coupled with the ability to communicate findings to both business and IT leaders in a way that can influence how an organization approaches a business challenge. Incumbents also advise on and select the business problems that have the most value for the organization. Knowledge of some of the following: data mining and business problem definition analytical and quantitative concepts machine learning techniques demonstrated ability to learn new tools and solutions quickly Required Technical and Professional Expertise Degree Computer Engineering/Science, Statistics, Machine Learning, Applied Math1+ years experience using machine learning tools and algorithms Preferred Tech and Prof Experience 3+ years experience using machine learning tools and algorithmsMasters preferredEnhanced reliable security clearance is preferred EO Statement  IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=140152&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_08348497&cb=1516298960966&jobListingId=2632935572
Customer Facing Data Scientist, DataRobot, – Canada, 23 days ago,"Job Summary Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of industries. You will need to be comfortable leading technical demonstrations of DataRobot, helping clients develop models that add value to their organizations, and integrating those models into client environments. Ideal candidates enjoy day-to-day data science problem-solving mixed with high levels of customer interaction. Main Requirements4-5+ years of real-world business experienceHands-on experience building and implementing predictive modelsStrong customer interaction skillsExcellent organizational, communication, writing and interpersonal skillsFamiliarity with a variety of technical tools for the manipulation of datasetsUp to 50% travelDesired SkillsExperience with machine learning techniquesFluency with scripting (Python / R)Experience with Hadoop and related Big Data technologies",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=4120&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_af4e5619&cb=1516298960967&jobListingId=2574157637
Marketing Data Scientist Intern, TripElephant, – Toronto, Today," About the Data Scientist Intern / Contract position  We are looking for a skilled Data Scientist who will help us analyze large amounts of raw information to find patterns and use them to optimize our performance. You will build data products to extract valuable business insights, analyze trends and help us make better decisions.  We expect you to be highly analytical with a knack for analysis, math and statistics, and a passion for machine-learning and research. Critical thinking and problem-solving skills are also required.  This is a very open ended role but is rooted in analytics for marketing and travel. The Details: Research and detect valuable data sources and automate collection processes Perform preprocessing of structured and unstructured data Review large amounts of information to discover trends and patterns Create predictive models and machine-learning algorithms Modify and combine different models through ensemble modeling Organize and present information using data visualization techniques Directly implement models and algorithms into our existing proprietary advertising management system for our client's brands We are hiring on an ongoing basis - target start date is for February 2018. Experience requirements are: Experience in data mining, machine-learning and operations research Good experience using business intelligence tools (such as Tableau) and data frameworks (such as Hadoop) Excellent knowledge of SQL (we use PostgreSQL) and Python Strong math and analytical skills, with business acumen Strong communication and presentation skills Good problem-solving abilitiesBSc or BA degree in Computer Science, Engineering or other relevant area; graduate degree in Data Science or other quantitative field is preferred",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=46442&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cdb938e8&cb=1516298960968&jobListingId=2639417684
Data Scientist III, TD Bank, – Toronto, 1 days ago,"Auto req ID 176716BR Job Title Data Scientist III Report Location Toronto Country CANADA Province/ State Ontario City Toronto TD Description  Tell us your story. Don't go unnoticed. Explain why you're a winning candidate. Think ""TD"" if you crave meaningful work and embrace change like we do. We are a trusted North American leader that cares about people and inspires them to grow and move forward.  Stay current and competitive. Carve out a career for yourself. Grow with us. Here's our story: jobs.td.com Department Overview The successful candidate will be a key part of a dynamic, innovative team that supports the central Enterprise Analytics function within TD Bank Group, through leading-edge analytical and modelling work. The Enterprise Analytics Team develops statistical models, data mining and analytical solutions to solve a wide array of business problems, including how to drive acquisition, migration and retention strategies for TDBFG, across all product areas. Job Type Regular Job Status Full Time Hours Mon-Fri Business Line Other Job Category - Primary Management | Consulting | Advisory Job Category(s) Management | Consulting | Advisory Job Description A successful candidate will have hands-on experience working in Big Data Analytical environments, with a deep understanding of data mining and analytical techniques, meaningful experience building strong working relationships, and success in effectively identifying and managing client requirements and expectations. Work closely with business owners to identify opportunities and serve as an ambassador for data scienceDesign and deliver enterprise analytic solutions to our customersDevelop powerful business insights from social, marketing and industrial data using advanced machine learning techniquesBuild complex statistical models that learn from and scale to petabytes of data. Work in a highly interactive, team-oriented environment with Big Data developers and Visualisation experts. Job Requirements Graduate level qualification in a relevant technical field (Computer Science, Engineering, Applied Mathematics/Statistics, Operations Research) ideally with a specialization in data mining/machine learningUp to 5 years' experience of working in analytical environmentsDeep expertise in analytical tools such as R/Matlab/SAS/StataExperience of scripting languages such as Python/Ruby/PHP etc.Experience of relational databases and usage of SQLExperience of Object Orientated programming via Java/C++Experience of Big data technologies (Hadoop, HIVE, PIG, Spark etc.) and unstructured dataDemonstrated track record of manipulation of large volume, high frequency data for analytical purposes on a Big Data platformDemonstrated experience of developing and implementing statistical models (predictive & descriptive) Demonstrated experience in delivering high quality, high impact analytical solutions to business problems. Inclusiveness  At TD, we are committed to fostering an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. If you require an accommodation for the recruitment/interview process (including alternate formats of materials, or accessible meeting rooms or other accommodation), please let us know and we will work with you to meet your needs.*Province/State (Primary) Ontario City (Primary) Toronto",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=134866&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7d5cdb18&cb=1516298960970&jobListingId=2638734366
"Data Scientist, Staff", realtor.com, – Vancouver, 3 days ago," Data is important to us. Its what we do. We process terabytes of data every day, and transform that data into information that powers decisions for millions of home buyers, renters, dreamers, and real estate professionals. Data is the key asset and we want to extract increasing value from it to help our business lines make critical decisions and to build data products that will delight and inform our visitors.  We seek a very seasoned Data Scientist with leadership experience to join our data science team and develop it to its full potential. As a senior member of the data science team, you will be responsible for the ideation, research, predictive modeling, and machine learning algorithms for data products to delight and inform visitors to realtor.com and its mobile apps. You will also serve as a mentor for the junior data scientists on the team and provide oversight on their individual projects. Responsibilities:Perform exploratory analysis on Moves wealth of data including consumer web and mobile behavior and North Americas most comprehensive listing and properties data set.Effectively partner with product management and the data product team on building new data driven features for personalization, targeting, recommendations, and market insights for a great consumer experienceDrive A/B, multivariate tests and design of experiments to facilitate testing of new product and design features, with focus on improving engagement, retention, and conversion.Select, apply, and tune a diverse set of tools to coherently solve challenging business goalsCreate automated learning systems that gracefully scale to increasing complexity and expectationDevelop predictive, explanatory models and machine learning algorithmsGenerate descriptive visualizations and presentations to communicate insightsMentor a team of data scientists on data exploration, machine learning and developing data based productsWork with a sense of ownership and urgency, advocate for experimentation based, agile culture.Education, Skills, and Experience:MS or PhD in statistics, mathematics, computer science, quantitative analysis, economics or related field is required.7+ years of relevant experience in data science, data analytics, or applied statistics,5+ years of experience with machine learning, data mining, statistical modeling tools and underlying algorithms5+ years experience in R, Perl, Python, spark, or other languages and frameworks appropriate for large scale analysis of numerical and textual dataAdvanced data scientist skills, willing to dive in to solve new problems and design/ implement new platforms and solutionsExperience with both statistical modeling , supervised and unsupervised learning techniquesExperience in consumer internet industry and familiarity with using clickstream dataExperience with model validation/ testingKnowledge of various machine learning libraries like TensorFlow, Scikit-learn, MLib etc.Experience with NLP toolkits such as NLTK, OpenNLP, Stanford CoreNLP or Deeplearning4Js NLP frameworkExperience with recommendation systemsFamiliarity with Time series AnalysisDeep knowledge of SQLKnowledge of clickstream analysis tools like Omniture or Google Analytics preferredExperience with various modeling tools like R, SAS etc.Knowledge of Scala, spark preferredExperience with Python ProgrammingExperience with AWSStrong creative thinking and problem solving skillsStrong presentation skillsWell versed in statistics#LI-JM2",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=310&ao=133562&s=58&guid=000001610a75fe2e9f4a0508ead26dcc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2e30c9ce&cb=1516298960970&jobListingId=2637474118
